item_id,name,category,price,link,short_description,designer,basic_color,furniture
9297134,JONAXEL,Chests of drawers & drawer units,150,https://www.ikea.com/sa/en/p/jonaxel-frame-with-wire-baskets-s09297134/,"        Frame with wire baskets,          50x51x70 cm",IKEA of Sweden,other,other
49239496,NORDLI,Chests of drawers & drawer units,900,https://www.ikea.com/sa/en/p/nordli-chest-of-4-drawers-white-s49239496/,"        Chest of 4 drawers,          160x54 cm",Ola Wihlborg,white,other
40196241,ALEX,Chests of drawers & drawer units,545,https://www.ikea.com/sa/en/p/alex-drawer-unit-on-castors-white-40196241/,"        Drawer unit on castors,          67x66 cm",Johanna Asshoff,white,other
19297138,JONAXEL,Chests of drawers & drawer units,200,https://www.ikea.com/sa/en/p/jonaxel-frame-with-wire-baskets-s19297138/,"        Frame with wire baskets,          50x51x104 cm",IKEA of Sweden,other,other
69252712,STUVA / FRITIDS,Chests of drawers & drawer units,730,https://www.ikea.com/sa/en/p/stuva-fritids-chest-of-6-drawers-white-white-s69252712/,"        Chest of 6 drawers,          60x50x128 cm",Ebba Strandmark,white,other
39239835,NORDLI,Chests of drawers & drawer units,460,https://www.ikea.com/sa/en/p/nordli-chest-of-3-drawers-white-s39239835/,"        Chest of 3 drawers,          40x76 cm",Ola Wihlborg,white,other
30415036,NORDLI,Chests of drawers & drawer units,240,https://www.ikea.com/sa/en/p/nordli-modular-chest-of-drawers-anthracite-30415036/,"        Modular chest of drawers,          40x45 cm",Ola Wihlborg,other,other
19306185,JONAXEL,Chests of drawers & drawer units,160,https://www.ikea.com/sa/en/p/jonaxel-frame-with-mesh-baskets-castors-s19306185/,"        Frame with mesh baskets/castors,          25x51x73 cm",IKEA of Sweden,other,other
20229011,BUSUNGE,Chests of drawers & drawer units,395,https://www.ikea.com/sa/en/p/busunge-chest-of-2-drawers-light-pink-20229011/,"        Chest of 2 drawers,          80x75 cm",Carl Öjerstam,pink,other
10391324,TYSSEDAL,Chests of drawers & drawer units,945,https://www.ikea.com/sa/en/p/tyssedal-chest-of-4-drawers-white-10391324/,"        Chest of 4 drawers,          67x102 cm",Ebba Strandmark,white,other
99239489,NORDLI,Chests of drawers & drawer units,1880,https://www.ikea.com/sa/en/p/nordli-chest-of-12-drawers-white-s99239489/,"        Chest of 12 drawers,          120x145 cm",Ola Wihlborg,white,other
9252673,STUVA / FRITIDS,Chests of drawers & drawer units,415,https://www.ikea.com/sa/en/p/stuva-fritids-chest-of-3-drawers-white-white-s09252673/,"        Chest of 3 drawers,          60x64 cm",Ebba Strandmark,white,other
60366789,SONGESAND,Chests of drawers & drawer units,595,https://www.ikea.com/sa/en/p/songesand-chest-of-4-drawers-brown-60366789/,"        Chest of 4 drawers,          82x104 cm",IKEA of Sweden,brown,other
9239498,NORDLI,Chests of drawers & drawer units,920,https://www.ikea.com/sa/en/p/nordli-chest-of-6-drawers-white-s09239498/,"        Chest of 6 drawers,          120x76 cm",Ola Wihlborg,white,other
99239494,NORDLI,Chests of drawers & drawer units,500,https://www.ikea.com/sa/en/p/nordli-chest-of-2-drawers-white-s99239494/,"        Chest of 2 drawers,          80x54 cm",Ola Wihlborg,white,other
69276567,NORDLI,Chests of drawers & drawer units,920,https://www.ikea.com/sa/en/p/nordli-chest-of-3-drawers-white-s69276567/,"        Chest of 3 drawers,          120x54 cm",Ola Wihlborg,white,other
9239827,NORDLI,Chests of drawers & drawer units,380,https://www.ikea.com/sa/en/p/nordli-chest-of-2-drawers-white-s09239827/,"        Chest of 2 drawers,          40x54 cm",Ola Wihlborg,white,other
10383461,NORDLI,Chests of drawers & drawer units,320,https://www.ikea.com/sa/en/p/nordli-modular-chest-of-2-drawers-white-10383461/,"        Modular chest of 2 drawers,          80x45 cm",Ola Wihlborg,white,other
29277229,PLATSA,Chests of drawers & drawer units,398,https://www.ikea.com/sa/en/p/platsa-chest-of-2-drawers-white-skatval-dark-grey-s29277229/,"        Chest of 2 drawers,          80x57x53 cm",IKEA of Sweden/Ola Wihlborg,white,other
20341003,ERIK,Chests of drawers & drawer units,395,https://www.ikea.com/sa/en/p/erik-drawer-unit-w-3-drawers-on-castors-black-20341003/,"        Drawer unit w 3 drawers on castors,          41x57 cm",IKEA of Sweden,black,other
49297491,JONAXEL,Chests of drawers & drawer units,195,https://www.ikea.com/sa/en/p/jonaxel-frame-with-mesh-baskets-castors-s49297491/,"        Frame with mesh baskets/castors,          50x51x73 cm",IKEA of Sweden,other,other
9297488,JONAXEL,Chests of drawers & drawer units,230,https://www.ikea.com/sa/en/p/jonaxel-frame-with-mesh-baskets-s09297488/,"        Frame with mesh baskets,          50x51x104 cm",IKEA of Sweden,other,other
89239499,NORDLI,Chests of drawers & drawer units,980,https://www.ikea.com/sa/en/p/nordli-chest-of-6-drawers-white-s89239499/,"        Chest of 6 drawers,          80x145 cm",Ola Wihlborg,white,other
29239505,NORDLI,Chests of drawers & drawer units,1540,https://www.ikea.com/sa/en/p/nordli-chest-of-8-drawers-white-s29239505/,"        Chest of 8 drawers,          160x99 cm",Ola Wihlborg,white,other
49248033,NORDLI,Chests of drawers & drawer units,960,https://www.ikea.com/sa/en/p/nordli-chest-of-5-drawers-white-s49248033/,"        Chest of 5 drawers,          120x76 cm",Ola Wihlborg,white,other
79239843,NORDLI,Chests of drawers & drawer units,620,https://www.ikea.com/sa/en/p/nordli-chest-of-4-drawers-white-s79239843/,"        Chest of 4 drawers,          40x99 cm",Ola Wihlborg,white,other
59239504,NORDLI,Chests of drawers & drawer units,1220,https://www.ikea.com/sa/en/p/nordli-chest-of-8-drawers-white-s59239504/,"        Chest of 8 drawers,          160x54 cm",Ola Wihlborg,white,other
60365153,GALANT,Chests of drawers & drawer units,825,https://www.ikea.com/sa/en/p/galant-drawer-unit-on-castors-black-stained-ash-veneer-60365153/,"        Drawer unit on castors,          45x55 cm",K Malmvall/E Lilja Löwenhielm,black,other
49211690,NORDLI,Chests of drawers & drawer units,1860,https://www.ikea.com/sa/en/p/nordli-chest-of-12-drawers-anthracite-s49211690/,"        Chest of 12 drawers,          160x99 cm",Ola Wihlborg,other,other
60353763,KLIMPEN,Chests of drawers & drawer units,495,https://www.ikea.com/sa/en/p/klimpen-drawer-unit-grey-light-grey-60353763/,"        Drawer unit,          33x70 cm",Tina Christensen,grey,other
90383457,NORDLI,Chests of drawers & drawer units,240,https://www.ikea.com/sa/en/p/nordli-modular-chest-of-2-drawers-white-90383457/,"        Modular chest of 2 drawers,          40x45 cm",Ola Wihlborg,white,other
19276522,NORDLI,Chests of drawers & drawer units,380,https://www.ikea.com/sa/en/p/nordli-chest-of-drawers-white-s19276522/,"        Chest of drawers,          40x54 cm",Ola Wihlborg,white,other
59297438,JONAXEL,Chests of drawers & drawer units,140,https://www.ikea.com/sa/en/p/jonaxel-frame-with-wire-baskets-castors-s59297438/,"        Frame with wire baskets/castors,          25x51x73 cm",IKEA of Sweden,other,other
90365161,GALANT,Chests of drawers & drawer units,1795,https://www.ikea.com/sa/en/p/galant-drawer-unit-white-90365161/,"        Drawer unit,          80x80 cm",K Malmvall/E Lilja Löwenhielm,white,other
29248010,NORDLI,Chests of drawers & drawer units,1640,https://www.ikea.com/sa/en/p/nordli-chest-of-10-drawers-white-s29248010/,"        Chest of 10 drawers,          160x99 cm",Ola Wihlborg,white,other
30151808,ERIK,Chests of drawers & drawer units,395,https://www.ikea.com/sa/en/p/erik-drawer-unit-w-2-drawers-on-castors-white-30151808/,"        Drawer unit w 2 drawers on castors,          41x57 cm",IKEA of Sweden,white,other
20383465,NORDLI,Chests of drawers & drawer units,320,https://www.ikea.com/sa/en/p/nordli-modular-chest-of-3-drawers-white-20383465/,"        Modular chest of 3 drawers,          40x68 cm",Ola Wihlborg,white,other
99279588,STUVA / FRITIDS,Chests of drawers & drawer units,375,https://www.ikea.com/sa/en/p/stuva-fritids-toy-storage-with-wheels-white-light-blue-s99279588/,"        Toy storage with wheels,          60x50x64 cm",Ebba Strandmark/IKEA of Sweden,white,other
19276621,NORDLI,Chests of drawers & drawer units,1640,https://www.ikea.com/sa/en/p/nordli-chest-of-8-drawers-white-s19276621/,"        Chest of 8 drawers,          160x99 cm",Ola Wihlborg,white,other
69239495,NORDLI,Chests of drawers & drawer units,580,https://www.ikea.com/sa/en/p/nordli-chest-of-3-drawers-white-s69239495/,"        Chest of 3 drawers,          80x76 cm",Ola Wihlborg,white,other
40383474,NORDLI,Chests of drawers & drawer units,200,https://www.ikea.com/sa/en/p/nordli-top-and-plinth-white-40383474/,"        Top and plinth,          120x47 cm",Ola Wihlborg,white,other
50397913,IDÅSEN,Chests of drawers & drawer units,595,https://www.ikea.com/sa/en/p/idasen-drawer-unit-on-castors-golden-brown-50397913/,"        Drawer unit on castors,          42x61 cm",Jon Karlsson,brown,other
29276550,NORDLI,Chests of drawers & drawer units,1060,https://www.ikea.com/sa/en/p/nordli-chest-of-5-drawers-white-s29276550/,"        Chest of 5 drawers,          80x122 cm",Ola Wihlborg,white,other
60365855,NORDLI,Chests of drawers & drawer units,320,https://www.ikea.com/sa/en/p/nordli-modular-chest-of-2-drawers-anthracite-60365855/,"        Modular chest of 2 drawers,          80x45 cm",Ola Wihlborg,other,other
